Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603",132.127260,-43.908080,270.000000,top
"C3","10uF","C_0805",125.981460,-56.037480,180.000000,top
"C4","100nF","C_0603",147.392660,-43.857280,270.000000,top
"C5","100nF","C_0603",122.633740,-55.803800,0.000000,top
"C7","10uF","C_0805",122.222260,-57.739280,0.000000,top
"C8","10uF","C_0805_2012Metric",127.482600,-61.315600,0.000000,top
"C9","100nF","C_0603",130.147060,-65.841880,0.000000,top
"C10","100nF","C_0603",125.752860,-73.233280,0.000000,top
"C11","10uF","C_0805_2012Metric",128.996200,-68.084700,0.000000,top
"C12","1uF","C_0805",101.152960,-102.519480,90.000000,top
"C13","100nF","C_0402",89.049860,-109.275880,0.000000,top
"C14","100nF","C_0402",99.413060,-103.179880,90.000000,top
"C15","10uF","C_0805",86.763860,-109.301280,270.000000,top
"C16","100nF","C_0402",91.640660,-98.353880,270.000000,top
"C17","100nF","C_0402",99.971860,-105.186480,0.000000,top
"C18","10uF","C_0805",89.964260,-97.718880,90.000000,top
"C19","10uF","C_0805",100.632260,-106.989880,0.000000,top
"C20","1uF","C_0805",83.355180,-105.804460,90.000000,top
"C21","100nF","C_0402",85.326220,-105.243540,90.000000,top
"C22","100nF","C_0402",93.030040,-112.297300,270.000000,top
"C23","10uF","c_elec_5x5.3",84.808060,-117.403880,90.000000,top
"C24","1uF","C_0805_2012Metric",108.358700,-107.022900,180.000000,top
"C25","10uF","C_0805_2012Metric",104.929700,-102.743000,180.000000,top
"C26","100nF","C_0402",95.623380,-112.319980,270.000000,top
"C27","47uF","c_elec_6.3x5.3",97.596960,-118.681500,90.000000,top
"C28","100nF","C_0402",97.670620,-112.388560,270.000000,top
"C29","47uF","c_elec_6.3x5.3",105.003600,-118.663720,90.000000,top
"C30","10uF","C_0805",108.176060,-26.624280,90.000000,top
"C31","100nF","C_0603",106.245660,-26.979880,90.000000,top
"C32","10uF","C_Elec_5x5.4",14.960600,-55.892700,270.000000,top
"C33","100nF","C_0402_1005Metric",21.462860,-51.859180,0.000000,top
"C34","10uF","c_elec_5x5.3",115.458240,-109.037100,90.000000,top
"C35","100nF","C_0603",119.430800,-107.068620,90.000000,top
"C36","10uF","C_Elec_5x5.4",21.498540,-47.627540,0.000000,top
"C37","100nF","C_0402_1005Metric",94.498160,-112.427880,270.000000,top
"C38","100uF","c_elec_6.3x5.3",111.406940,-93.548200,90.000000,top
"C39","100uF","c_elec_6.3x5.3",66.596260,-94.594680,0.000000,top
"C40","10uF","c_elec_5x5.3",67.383660,-110.418880,180.000000,top
"C41","10uF","c_elec_5x5.3",67.383660,-125.887480,180.000000,top
"C42","100nF","C_0603",64.437260,-106.481880,180.000000,top
"C43","100nF","C_0603",64.437260,-121.950480,180.000000,top
"C44","100nF","C_0603",12.740000,-80.422400,90.000000,top
"C45","100nF","C_0603",12.571260,-104.049680,90.000000,top
"C46","10uF","c_elec_5x5.3",22.273260,-60.279280,180.000000,top
"C47","100nF","C_0603",20.165060,-64.216280,0.000000,top
"C48","100nF","C_0603",76.159360,-13.784580,90.000000,top
"C49","10uF","C_0805",78.699360,-11.358880,180.000000,top
"C50","100nF","C_0603",84.160360,-15.181580,180.000000,top
"C51","100nF","C_0603",87.563960,-16.769080,90.000000,top
"C52","100nF","C_0603",90.713560,-8.539480,180.000000,top
"C53","100nF","C_0603",62.141100,-15.026640,270.000000,top
"C54","100nF","C_0603",111.630460,-15.778480,180.000000,top
"C55","100nF","C_0603",136.649460,-5.974080,90.000000,top
"C56","10uF","c_elec_5x5.3",103.324660,-17.048480,90.000000,top
"C57","100nF","C_0603",102.029260,-7.117080,270.000000,top
"C58","10uF","C_0805",102.511860,-26.624280,90.000000,top
"C59","100nF","C_0603",104.442260,-26.979880,90.000000,top
"C60","100nF","C_0603",77.066140,-49.885600,180.000000,top
"C61","10uF","C_Elec_5x5.4",25.138400,-54.584600,0.000000,top
"C62","10uF","CP_Elec_5x5.3",90.822780,-118.374520,270.000000,top
"CA1","2.2nF","C_0603",91.620340,-112.398240,270.000000,top
"CA2","2.2nF","C_0603",90.030300,-112.377220,270.000000,top
"CA3","100pF","C_0603",127.901700,-98.968560,270.000000,top
"CA4","100pF","C_0603",127.901700,-119.110760,90.000000,top
"CA5","100nF","C_1206",126.009400,-102.842060,90.000000,top
"CA6","100nF","C_1206",126.006860,-115.244880,270.000000,top
"CA7","100pF","C_0603",123.139200,-104.391460,0.000000,top
"CA8","100pF","C_0603",123.139200,-113.687860,180.000000,top
"CA9","10uF","c_elec_5x5.3",113.764060,-101.884480,0.000000,top
"CA10","10uF","c_elec_5x5.3",113.764060,-116.184680,0.000000,top
"CA11","10uF","c_elec_5x5.3",75.714860,-99.547680,180.000000,top
"CA12","10uF","c_elec_5x5.3",75.714860,-115.016280,180.000000,top
"CA13","33pF","C_0603",72.514460,-104.119680,90.000000,top
"CA14","33pF","C_0603",72.514460,-119.588280,90.000000,top
"CA15","47pF","C_0603",63.243460,-102.849680,90.000000,top
"CA16","47pF","C_0603",63.243460,-118.318280,90.000000,top
"CA17","10uF","c_elec_5x5.3",55.699660,-96.931480,0.000000,top
"CA18","10uF","c_elec_5x5.3",55.699660,-112.374680,0.000000,top
"CA19","100uF","c_elec_6.3x7.7",55.725060,-103.611680,0.000000,top
"CA20","100uF","c_elec_6.3x7.7",55.725060,-119.080280,0.000000,top
"CA23","10uF","c_elec_5x5.3",22.222460,-75.138280,180.000000,top
"CA24","100uF","CP_Elec_6.3x7.7",13.850600,-71.450200,180.000000,top
"CA25","100uF","CP_Elec_6.3x7.7",12.771100,-64.287400,180.000000,top
"D1","MBR230","D_SOD-123F",134.404100,-20.523200,90.000000,top
"D2","MBR230","D_SOD-123F",129.095500,-20.488100,90.000000,top
"D3","BAS70-04","SOT-23",100.479860,-109.783880,180.000000,top
"D4","BAS70-04","SOT-23",104.010460,-109.783880,180.000000,top
"D5","1N4148","SOD-323",123.784360,-93.761560,270.000000,top
"D6","1N4148","SOD-323",123.784360,-124.325380,90.000000,top
"D7","BAS70-04","SOT-23",127.759460,-107.218480,0.000000,top
"D8","BAS70-04","SOT-23",127.762000,-110.995460,0.000000,top
"D9","1N4148","SOD-323",118.541800,-93.761560,270.000000,top
"D10","1N4148","SOD-323",118.551960,-124.325380,90.000000,top
"D11","1N4148","SOD-323",14.987860,-83.189280,0.000000,top
"D12","1N4148","SOD-323",15.847860,-104.557680,0.000000,top
"D13","PRTR5V0U2X","SOT-143",84.528660,-12.400280,90.000000,top
"D14","PRTR5V0U2X","SOT-143",90.916760,-11.587480,0.000000,top
"D15","1N4148","SOD-323",49.476660,-18.303240,270.000000,top
"D16","1N4148","SOD-323",54.775100,-26.578560,270.000000,top
"F1","FUSE","Fuse_SMD2920",130.680460,-13.213080,180.000000,top
"FB1","1mH","SELF-WE-PD-XXL",139.747260,-43.146080,0.000000,top
"J7","Conn_02x50_Odd_Even","Pin_Header_Straight_2x50_Pitch1.27mm_SMD",66.815000,-79.752400,270.000000,top
"J8","Conn_02x50_Odd_Even","Pin_Header_Straight_2x50_Pitch1.27mm_SMD",66.802000,-36.773400,270.000000,top
"K1","IM06TS","Relay_DPDT_Omron_G6S-2F-good_pinout",15.910000,-92.092400,0.000000,top
"K2","IM06TS","Relay_DPDT_Omron_G6S-2F-good_pinout",15.770000,-115.272400,0.000000,top
"L1","600R 1.5A","C_0805",74.559160,-7.218680,270.000000,top
"Q1","2N7002","SOT-23",123.776740,-89.382600,180.000000,top
"Q2","2N7002","SOT-23",118.539260,-85.933280,0.000000,top
"Q3","J112","SOT-23",123.037600,-99.057460,0.000000,top
"Q4","J112","SOT-23",123.037600,-119.009160,180.000000,top
"Q5","J112","SOT-23",119.545100,-99.057460,0.000000,top
"Q6","J112","SOT-23",119.545100,-118.971060,180.000000,top
"Q7","2N7002","SOT-23",118.544340,-89.382600,180.000000,top
"Q8","2N7002","SOT-23",123.771660,-85.933280,0.000000,top
"Q9","2N7002","SOT-23",18.391460,-82.198680,180.000000,top
"Q10","2N7002","SOT-23",19.175260,-103.541680,180.000000,top
"Q12","2N7002","SOT-23",34.820860,-17.531080,90.000000,top
"Q13","2N7002","SOT-23",38.275260,-17.531080,90.000000,top
"Q14","BSS84","SOT-23",108.074460,-10.647680,0.000000,top
"Q15","BSS84","SOT-23",120.672860,-10.647680,0.000000,top
"R1","10k","R_0603",88.402160,-98.195700,90.000000,top
"R2","10k","R_0603",83.596480,-102.653400,270.000000,top
"R3","22R","R_0603",103.569200,-43.116500,0.000000,top
"R4","22R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",98.699320,-97.999520,270.000000,top
"R5","22R","R_0603",93.197680,-98.218560,90.000000,top
"R6","22R","R_0603",97.022920,-98.186940,90.000000,top
"R7","22R","R_0603",95.328740,-98.183000,90.000000,top
"R9","22R","R_0603",85.316060,-100.614480,90.000000,top
"R10","22R","R_0603",87.246460,-100.614480,90.000000,top
"R12","10k","R_0603",86.786020,-103.139240,0.000000,top
"R13","10k","R_0603",86.827360,-105.274680,270.000000,top
"R14","10k","R_0603",100.937060,-43.134280,0.000000,top
"R15","2k7","R_0603",78.204060,-43.870880,90.000000,top
"R16","2k7","R_0603",76.324460,-43.870880,270.000000,top
"R17","10k","R_0201_0603Metric",84.993480,-103.250560,270.000000,top
"R20","10k","R_0603",95.298260,-43.870880,270.000000,top
"R21","10k","R_0603",91.412060,-43.870880,90.000000,top
"R22","100k","R_0603",125.790960,-93.756480,270.000000,top
"R23","100k","R_0603",125.790960,-124.630180,90.000000,top
"R24","1M","R_0603",123.037600,-96.403160,0.000000,top
"R25","1M","R_0603",123.037600,-121.676160,0.000000,top
"R26","1M","R_0603",119.291100,-96.428560,180.000000,top
"R27","1M","R_0603",119.291100,-121.676160,0.000000,top
"R28","100k","R_0603",120.558560,-93.705680,270.000000,top
"R29","100k","R_0603",120.558560,-124.630180,90.000000,top
"R30","10k","R_0603",93.494860,-43.870880,90.000000,top
"R31","10k","R_0603",89.507060,-43.870880,90.000000,top
"R34","100k","R_0603",15.292660,-81.284280,180.000000,top
"R35","100k","R_0603",16.152660,-102.627280,180.000000,top
"R36","10k","R_0603",18.594660,-79.658680,0.000000,top
"R37","10k","R_0603",19.378460,-100.950880,0.000000,top
"R40","22R","R_0603",24.406860,-71.277480,0.000000,top
"R41","22R","R_0603",24.406860,-65.333880,0.000000,top
"R42","5k6","R_0603",79.689960,-13.784580,270.000000,top
"R43","10k","R_0603",77.823060,-13.784580,90.000000,top
"R46","10k","R_0603",93.469460,-17.518380,0.000000,top
"R47","220R","R_0805",49.471580,-14.691360,90.000000,top
"R48","10k","R_0603",52.854860,-26.878280,90.000000,top
"R49","220R","R_0805",29.588460,-14.203680,270.000000,top
"R50","220R","R_0805",31.798260,-14.203680,270.000000,top
"R51","10k","R_0603",33.804860,-14.406880,270.000000,top
"R52","10k","R_0603",35.557460,-14.406880,270.000000,top
"R53","10k","R_0603",107.236260,-13.162280,180.000000,top
"R54","10k","R_0603",119.910860,-13.162280,180.000000,top
"R55","100R","R_0603",117.091460,-25.582880,270.000000,top
"R56","100R","R_0603",111.757460,-25.582880,270.000000,top
"R57","10k","R_0603",113.535460,-25.582880,90.000000,top
"R58","10k","R_0603",115.313460,-25.582880,270.000000,top
"R59","56R","R_0805",114.272060,-14.940280,270.000000,top
"R60","56R","R_0805",116.837460,-14.940280,270.000000,top
"R61","56R","R_0805",110.919260,-10.647680,270.000000,top
"R62","56R","R_0805",113.103660,-10.647680,270.000000,top
"R63","100R","R_0805",115.288060,-10.647680,90.000000,top
"R72","100R","R_0603",9.547860,-27.640280,90.000000,top
"R73","100R","R_0603",7.007860,-27.640280,90.000000,top
"R76","330R","R_0603",118.082060,-10.342880,270.000000,top
"R77","330R","R_0603",105.509060,-10.342880,270.000000,top
"RA1","47R","R_0603",128.651000,-101.343460,0.000000,top
"RA2","47R","R_0603",128.651000,-116.735860,0.000000,top
"RA3","1M","R_0603",126.009400,-99.120960,270.000000,top
"RA4","1M","R_0603",126.009400,-118.958360,90.000000,top
"RA5","1M","R_0603",128.143000,-103.858060,90.000000,top
"RA6","1M","R_0603",128.143000,-114.221260,270.000000,top
"RA7","1k5","R_0603",122.174000,-102.181660,270.000000,top
"RA8","1k5","R_0603",123.901200,-115.897660,90.000000,top
"RA9","21k","R_0603",123.901200,-102.181660,90.000000,top
"RA10","21k","R_0603",122.174000,-115.897660,270.000000,top
"RA11","1k5","R_0603",120.446800,-102.181660,270.000000,top
"RA12","1k5","R_0603",120.446800,-115.897660,90.000000,top
"RA13","4k99","R_0603",118.719600,-102.181660,270.000000,top
"RA14","4k99","R_0603",118.719600,-115.897660,90.000000,top
"RA15","100R","R_0603",120.142000,-104.391460,180.000000,top
"RA16","100R","R_0603",120.180100,-113.725960,180.000000,top
"RA17","1k2","R_0603",115.973860,-94.315280,90.000000,top
"RA18","1k2","R_0603",115.973860,-97.109280,90.000000,top
"RA19","1k2","R_0603",72.438260,-93.045280,90.000000,top
"RA20","1k2","R_0603",74.216260,-93.045280,270.000000,top
"RA21","10k","R_0603",75.918060,-104.119680,90.000000,top
"RA22","10k","R_0603",75.918060,-119.588280,90.000000,top
"RA23","15k","R_0603",74.190860,-104.119680,90.000000,top
"RA24","15k","R_0603",74.190860,-119.588280,90.000000,top
"RA25","10k","R_0603",68.806060,-106.532680,0.000000,top
"RA26","10k","R_0603",67.917060,-99.166680,0.000000,top
"RA27","10k","R_0603",68.806060,-122.001280,0.000000,top
"RA28","10k","R_0603",67.917060,-114.635280,0.000000,top
"RA29","10k","R_0603",61.567060,-102.849680,90.000000,top
"RA30","10k","R_0603",61.567060,-118.318280,90.000000,top
"RA31","22k","R_0603",49.400460,-103.916480,0.000000,top
"RA32","33R","R_0603",49.400460,-100.360480,0.000000,top
"RA33","22k","R_0603",49.400460,-121.645680,0.000000,top
"RA34","33R","R_0603",49.400460,-118.089680,0.000000,top
"RA35","66R","R_0603",49.400460,-102.138480,0.000000,top
"RA36","33R","R_0603",49.400460,-98.582480,0.000000,top
"RA37","66R","R_0603",49.400460,-119.867680,0.000000,top
"RA38","33R","R_0603",49.400460,-116.311680,0.000000,top
"RA39","75k","R_0603",12.738800,-75.628500,180.000000,top
"RA40","75k","R_0603",12.801600,-59.918600,180.000000,top
"U2","LD1117S50TR_SOT223","SOT-223-3_TabPin2",122.631600,-68.097400,180.000000,top
"U3","CS4245","LQFP-48_7x7mm_P0.5mm",93.420380,-104.923840,0.000000,top
"U4","AT24CS08-STUM","SOT-23-5",77.320140,-47.208440,270.000000,top
"U6","LM4562","SOIC-8_3.9x4.9mm_Pitch1.27mm",123.131580,-109.037100,90.000000,top
"U7","LM4562","SOIC-8_3.9x4.9mm_Pitch1.27mm",67.878960,-102.849680,180.000000,top
"U8","LM4562","SOIC-8_3.9x4.9mm_Pitch1.27mm",67.878960,-118.318280,180.000000,top
"U9","LM4811","MSOP-10_3x3mm_Pitch0.5mm",20.571460,-68.305680,90.000000,top
"U10","RT9701","SOT-23-5",90.243660,-16.565880,0.000000,top
"U11","6N137S","DIP-8_SMD",56.029860,-18.089880,270.000000,top
"U12","ISL83491","SOIC-14_3.9x8.7mm_Pitch1.27mm",114.932460,-20.401280,90.000000,top
"U13","AP2120N-3.3","SOT-23",104.886800,-105.952800,270.000000,top
